key_0,inv_uva,inv_innov,gender,birth,race,venture_nums,entrepreneur,first_venture_age,instate,family_ent,small_bus_exp,last_deg,last_field,founder,investor,board_member,early_emp
76,Not involved at all,Not very involved,Female,1986.0,White,0,0,,0.0,1.0,1.0,Others,Social Sciences,0,0,0,0
77,Not involved at all,Not involved at all,Male,1974.0,White,1,1,38.0,1.0,0.0,0.0,Master's,Business,1,1,1,0
78,Not very involved,Very involved,Female,1967.0,White,1,1,31.0,1.0,1.0,1.0,Bachelor's,Business,1,0,0,0
79,Not involved at all,Not involved at all,Female,1952.0,White,0,0,,1.0,0.0,1.0,Bachelor's,Education,0,0,0,0
80,Not involved at all,Not involved at all,Male,1983.0,White,0,0,,1.0,0.0,1.0,Master's,Architecture,0,0,0,0
81,Not involved at all,Somewhat involved,Male,1976.0,White,0,0,,1.0,1.0,0.0,J.D.,Law,0,0,0,0
82,Not very involved,Somewhat involved,Female,1953.0,Black or African American,1,1,50.0,1.0,1.0,1.0,Master's,Education,0,0,1,0
83,Not involved at all,Not involved at all,Male,1947.0,White,0,0,,1.0,0.0,1.0,Master's,Public Policy,0,0,0,0
84,Not very involved,Not very involved,Male,1979.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Engineering,0,0,0,0
85,Not involved at all,Somewhat involved,Male,1951.0,White,3,1,23.0,0.0,0.0,1.0,Others,Medicine/Healthcare,1,0,0,0
86,Not very involved,Not involved at all,Female,1963.0,White,1,1,28.0,1.0,1.0,1.0,Bachelor's,Architecture,1,0,0,0
87,Not very involved,Not involved at all,Female,1989.0,Black or African American,0,0,,1.0,0.0,1.0,Bachelor's,Humanities,0,0,0,0
88,Not involved at all,Not involved at all,Male,1954.0,White,1,1,50.0,1.0,0.0,1.0,Bachelor's,Sciences,1,0,0,0
89,Not involved at all,Very involved,Male,1953.0,White,2,1,49.0,1.0,1.0,0.0,Bachelor's,Social Sciences,1,0,0,1
90,Not involved at all,Not very involved,Male,1961.0,White,0,0,,1.0,1.0,1.0,Master's,Architecture,0,0,0,0
93,Not involved at all,Not involved at all,Female,1950.0,White,1,1,,0.0,0.0,1.0,Master's,Education,1,0,1,0
94,Not very involved,Not involved at all,Female,1986.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Social Sciences,0,0,0,0
95,Not involved at all,Not very involved,Male,1971.0,White,1,1,38.0,0.0,1.0,0.0,Master's,Business,1,0,0,0
96,Somewhat involved,Somewhat involved,Male,1953.0,White,0,0,,1.0,1.0,0.0,Bachelor's,Business,0,0,0,0
98,Not very involved,Very involved,Male,1946.0,White,1,1,30.0,1.0,0.0,1.0,Master's,Education,1,0,0,0
99,Somewhat involved,Not involved at all,Male,1979.0,Two or more races,1,1,30.0,0.0,0.0,0.0,J.D.,Law,1,0,0,0
101,Not involved at all,Not involved at all,Female,1942.0,White,0,0,,1.0,1.0,1.0,Master's,Education,0,0,0,0
103,Not very involved,Not involved at all,Female,1974.0,White,0,0,,1.0,1.0,1.0,Master's,Fine Arts,0,0,0,0
105,Very involved,Very involved,Male,1958.0,White,4,1,19.0,1.0,1.0,1.0,Master's,Business,1,1,1,0
106,Not involved at all,Not involved at all,Female,1958.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Social Sciences,0,0,0,0
108,Not involved at all,Somewhat involved,Male,1971.0,White,3,1,36.0,1.0,1.0,1.0,Master's,Business,1,0,0,0
109,Somewhat involved,Somewhat involved,Female,1986.0,White,0,0,,1.0,1.0,0.0,Master's,Education,0,0,0,0
111,Not very involved,Not involved at all,Female,1989.0,White,0,0,,0.0,1.0,1.0,Bachelor's,Sciences,0,0,0,0
112,Not very involved,Somewhat involved,Male,1986.0,White,0,0,,0.0,1.0,1.0,Bachelor's,Business,0,0,0,0
115,Somewhat involved,Somewhat involved,Male,1980.0,Black or African American,0,0,,1.0,,0.0,Ph.D.,Education,0,0,0,0
116,Very involved,Not very involved,Female,1964.0,White,1,1,18.0,0.0,1.0,1.0,Bachelor's,Social Sciences,1,0,0,0
118,Not involved at all,Not involved at all,Male,1987.0,White,0,0,,1.0,0.0,,Bachelor's,Humanities,0,0,0,0
119,Not very involved,Very involved,Male,1947.0,White,0,0,,0.0,0.0,0.0,Bachelor's,Engineering,0,0,0,0
120,Not involved at all,Somewhat involved,Female,1971.0,White,0,0,,1.0,1.0,1.0,Master's,Architecture,0,0,0,0
121,Not involved at all,Not very involved,Female,1980.0,White,0,0,,0.0,1.0,1.0,Ph.D.,Social Sciences,0,0,0,0
122,Not involved at all,Not involved at all,Male,1984.0,White,0,0,,1.0,,0.0,Master's,Engineering,0,0,0,0
127,Not involved at all,Not involved at all,Female,1963.0,White,0,0,,0.0,0.0,0.0,Bachelor's,Other,0,0,0,0
129,Not involved at all,Very involved,Male,1950.0,White,0,0,,0.0,0.0,1.0,Ph.D.,Humanities,0,0,0,0
130,Not involved at all,Not involved at all,Female,1956.0,White,2,1,55.0,0.0,0.0,0.0,Master's,Architecture,1,0,0,0
131,Not involved at all,Somewhat involved,Male,1967.0,White,2,1,25.0,1.0,1.0,0.0,Bachelor's,Social Sciences,1,0,0,1
132,Not involved at all,Not involved at all,Male,1983.0,White,1,1,19.0,1.0,1.0,1.0,Bachelor's,Social Sciences,1,1,1,1
133,Not involved at all,Not involved at all,Male,1966.0,White,1,1,23.0,1.0,1.0,1.0,Bachelor's,Other,1,0,1,0
134,Not involved at all,Very involved,Male,1946.0,White,0,0,,1.0,,1.0,Bachelor's,Engineering,0,0,0,0
136,Not involved at all,Very involved,Male,1955.0,White,1,1,,0.0,0.0,1.0,M.D.,Medicine/Healthcare,0,0,1,0
138,Not involved at all,Not very involved,Male,1947.0,White,1,1,,0.0,1.0,1.0,M.D.,Medicine/Healthcare,1,1,0,1
139,Not involved at all,Not involved at all,Female,1978.0,White,0,0,,0.0,0.0,0.0,Master's,Education,0,0,0,0
140,Not involved at all,Not involved at all,Male,1955.0,White,0,0,,0.0,0.0,0.0,Bachelor's,Social Sciences,0,0,0,0
141,Not involved at all,Somewhat involved,Male,1947.0,White,1,1,62.0,1.0,1.0,0.0,Ed.D.,Education,1,0,0,0
142,Very involved,Very involved,Male,1957.0,White,3,1,23.0,0.0,1.0,1.0,Master's,Business,1,1,1,1
143,Not very involved,Not involved at all,Female,1957.0,White,1,1,51.0,1.0,0.0,1.0,Bachelor's,Humanities,1,0,0,0
144,Not involved at all,Not involved at all,Male,1973.0,White,0,0,,1.0,1.0,1.0,J.D.,Law,0,0,0,0
145,Not involved at all,Not involved at all,Female,1970.0,White,0,0,,0.0,0.0,1.0,J.D.,Law,0,0,0,0
146,Not very involved,Not involved at all,Female,1971.0,Black or African American,1,1,32.0,1.0,1.0,1.0,Bachelor's,Humanities,0,0,0,1
149,Not involved at all,Very involved,Female,1974.0,White,0,0,,0.0,0.0,0.0,Master's,Business,0,0,0,0
150,Somewhat involved,Not very involved,Male,1958.0,White,0,0,,0.0,1.0,0.0,Bachelor's,Business,0,0,0,0
153,Not involved at all,Somewhat involved,Male,1952.0,White,2,1,39.0,1.0,1.0,1.0,Master's,Humanities,1,0,1,0
154,Not involved at all,Not very involved,Male,1951.0,White,0,0,,1.0,1.0,0.0,J.D.,Law,0,0,0,0
156,Somewhat involved,Somewhat involved,Male,1956.0,White,1,1,51.0,1.0,1.0,1.0,Master's,Engineering,0,0,0,1
158,Not involved at all,Not involved at all,Male,1977.0,Two or more races,4,1,22.0,1.0,1.0,1.0,Bachelor's,Architecture,1,1,1,1
159,Not very involved,Not very involved,Female,1962.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Other,0,0,0,0
160,Not involved at all,Very involved,Male,1971.0,White,0,0,,1.0,,,Ph.D.,Sciences,0,0,0,0
162,Not involved at all,Somewhat involved,Male,1956.0,White,3,1,48.0,0.0,1.0,1.0,Master's,Business,0,1,1,0
163,Not very involved,Not involved at all,Male,1942.0,White,0,0,,0.0,0.0,1.0,M.D.,Medicine/Healthcare,0,0,0,0
165,Not involved at all,Very involved,Female,1979.0,White,0,0,,0.0,1.0,1.0,Master's,Sciences,0,0,0,0
166,Not involved at all,Somewhat involved,Female,1959.0,White,1,1,37.0,0.0,0.0,0.0,Bachelor's,Engineering,0,0,0,1
167,Not involved at all,Somewhat involved,Male,1977.0,White,1,1,29.0,1.0,0.0,,Bachelor's,Sciences,0,0,0,1
169,Not involved at all,Not involved at all,Female,1948.0,White,0,0,,1.0,,0.0,Bachelor's,Medicine/Healthcare,0,0,0,0
170,Very involved,Not very involved,Female,1943.0,White,1,1,43.0,0.0,1.0,0.0,Ed.D.,Education,1,0,0,0
171,Not involved at all,Not involved at all,Female,1967.0,White,0,0,,1.0,,1.0,J.D.,Law,0,0,0,0
172,Not involved at all,Not involved at all,Male,1966.0,White,0,0,,0.0,1.0,0.0,Ph.D.,Social Sciences,0,0,0,0
173,Not involved at all,Somewhat involved,Male,1959.0,White,0,0,,0.0,0.0,0.0,J.D.,Law,0,0,0,0
174,Not very involved,Somewhat involved,Female,1971.0,White,0,0,,0.0,1.0,,M.D.,Medicine/Healthcare,0,0,0,0
175,Not involved at all,Not involved at all,Female,1984.0,White,0,0,,1.0,0.0,1.0,J.D.,Law,0,0,0,0
178,Not involved at all,Somewhat involved,Male,1960.0,White,0,0,,0.0,0.0,0.0,J.D.,Law,0,0,0,0
180,Not involved at all,Not involved at all,Male,1966.0,White,0,0,,0.0,0.0,1.0,Bachelor's,Humanities,0,0,0,0
182,Somewhat involved,Somewhat involved,Male,1977.0,White,2,1,31.0,0.0,1.0,0.0,Bachelor's,Business,0,1,0,0
183,Not involved at all,Not very involved,Male,1966.0,White,1,1,31.0,1.0,1.0,1.0,Bachelor's,Other,1,0,0,0
184,Not very involved,Not involved at all,Female,1965.0,White,1,1,15.0,1.0,1.0,1.0,J.D.,Law,0,0,1,0
185,Not very involved,Somewhat involved,Female,1972.0,White,0,0,,0.0,1.0,1.0,Master's,Business,0,0,0,0
186,Not involved at all,Somewhat involved,Female,1980.0,White,0,0,,0.0,0.0,0.0,Ph.D.,Sciences,0,0,0,0
188,Not involved at all,Not very involved,Female,1945.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Social Sciences,0,0,0,0
189,Not involved at all,Not involved at all,Female,1988.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Fine Arts,0,0,0,0
190,Not involved at all,Somewhat involved,Female,1966.0,White,0,0,,0.0,1.0,0.0,Ph.D.,Humanities,0,0,0,0
195,Not involved at all,Somewhat involved,Female,1951.0,White,0,0,,0.0,1.0,1.0,Master's,Architecture,0,0,0,0
196,Not involved at all,Not very involved,Male,1976.0,White,0,0,,1.0,1.0,1.0,Master's,Business,0,0,0,0
197,Not involved at all,Not involved at all,Female,1960.0,White,1,1,43.0,0.0,0.0,1.0,Master's,Social Sciences,1,0,0,1
198,Not involved at all,Somewhat involved,Female,1949.0,White,1,1,45.0,1.0,1.0,0.0,Master's,Education,1,0,0,0
199,Not very involved,Very involved,Female,1959.0,White,0,0,,0.0,1.0,1.0,Bachelor's,Humanities,0,0,0,0
201,Not involved at all,Somewhat involved,Male,1946.0,White,0,0,,1.0,,,Bachelor's,Engineering,0,0,0,0
203,Not involved at all,Very involved,Male,1948.0,White,0,0,,1.0,0.0,1.0,Ph.D.,Sciences,0,0,0,0
205,Not involved at all,Not involved at all,Female,1962.0,White,1,1,39.0,0.0,1.0,1.0,Bachelor's,Social Sciences,1,0,0,0
206,Not involved at all,Very involved,Male,1950.0,White,0,0,,1.0,1.0,0.0,Ph.D.,Humanities,0,0,0,0
208,Not involved at all,Not involved at all,Female,1985.0,White,0,0,,1.0,1.0,1.0,J.D.,Law,0,0,0,0
213,Not involved at all,Not involved at all,Female,1964.0,White,0,0,,1.0,,1.0,Master's,Education,0,0,0,0
214,Not involved at all,Not very involved,Male,1985.0,White,0,0,,1.0,1.0,0.0,Master's,Engineering,0,0,0,0
215,Not involved at all,Not involved at all,Male,1989.0,White,0,0,,0.0,0.0,,Master's,Business,0,0,0,0
217,Not involved at all,Very involved,Male,1979.0,White,0,0,,1.0,1.0,1.0,J.D.,Law,0,0,0,0
218,Not involved at all,Somewhat involved,Female,1980.0,White,0,0,,1.0,0.0,1.0,Bachelor's,Humanities,0,0,0,0
220,Not very involved,Not involved at all,Female,1967.0,White,0,0,,1.0,0.0,1.0,Master's,Education,0,0,0,0
221,Not involved at all,Not involved at all,Female,1987.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Business,0,0,0,0
222,Not very involved,Not involved at all,Female,1974.0,White,0,0,,0.0,0.0,0.0,Bachelor's,Business,0,0,0,0
223,Not involved at all,Not very involved,Male,1973.0,Hispanic or Latino,0,0,,0.0,1.0,1.0,Master's,Architecture,0,0,0,0
224,Not involved at all,Somewhat involved,Male,1977.0,White,2,1,29.0,1.0,1.0,0.0,Ed.D.,Education,1,0,1,1
226,Not involved at all,Not involved at all,Female,1988.0,White,0,0,,1.0,0.0,1.0,Bachelor's,Humanities,0,0,0,0
228,Not involved at all,Very involved,Male,1948.0,White,0,0,,0.0,0.0,0.0,Bachelor's,Humanities,0,0,0,0
229,Not very involved,Very involved,Female,1964.0,White,0,0,,0.0,0.0,1.0,Ph.D.,Medicine/Healthcare,0,0,0,0
231,Not involved at all,Not involved at all,Female,1971.0,Black or African American,1,1,33.0,0.0,0.0,0.0,Master's,Business,1,0,0,0
232,Not very involved,Not very involved,Female,1983.0,White,0,0,,0.0,0.0,1.0,J.D.,Law,0,0,0,0
233,Not involved at all,Not very involved,Female,1982.0,White,2,1,24.0,1.0,0.0,1.0,Bachelor's,Humanities,1,0,0,1
234,Not involved at all,Very involved,Male,1985.0,Asian,0,0,,0.0,0.0,0.0,Bachelor's,Engineering,0,0,0,0
236,Very involved,Very involved,Female,1961.0,White,2,1,21.0,1.0,1.0,1.0,Bachelor's,Humanities,0,0,1,1
237,Not involved at all,Somewhat involved,Female,1986.0,White,0,0,,1.0,1.0,0.0,Bachelor's,Architecture,0,0,0,0
238,Somewhat involved,Somewhat involved,Male,1954.0,White,2,1,52.0,1.0,1.0,0.0,Master's,Business,0,1,1,0
240,Not involved at all,Not involved at all,Male,1972.0,White,1,1,28.0,1.0,0.0,0.0,J.D.,Law,0,0,0,1
241,Not very involved,Somewhat involved,Female,1985.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Humanities,0,0,0,0
243,Not involved at all,Somewhat involved,Female,1986.0,White,0,0,,1.0,0.0,,Master's,Social Sciences,0,0,0,0
244,Not involved at all,Not very involved,Male,1982.0,White,0,0,,1.0,1.0,1.0,J.D.,Law,0,0,0,0
245,Not involved at all,Not involved at all,Male,1979.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Humanities,0,0,0,0
246,Not involved at all,Very involved,Female,1956.0,White,0,0,,0.0,,,Ph.D.,Medicine/Healthcare,0,0,0,0
247,Somewhat involved,Very involved,Female,1987.0,White,0,0,,0.0,0.0,1.0,Bachelor's,Engineering,0,0,0,0
248,Not involved at all,Somewhat involved,Male,1981.0,White,1,1,30.0,1.0,0.0,1.0,J.D.,Law,0,0,0,1
249,Not involved at all,Not involved at all,Male,1978.0,White,0,0,,1.0,0.0,0.0,Master's,Business,0,0,0,0
250,Not involved at all,Not involved at all,Female,1982.0,White,0,0,,0.0,1.0,0.0,Bachelor's,Social Sciences,0,0,0,0
251,Somewhat involved,Somewhat involved,Male,1957.0,White,1,1,38.0,0.0,1.0,1.0,Master's,Business,0,0,0,1
252,Not involved at all,Somewhat involved,Male,1983.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Engineering,0,0,0,0
254,Not involved at all,Not involved at all,Male,1984.0,White,0,0,,1.0,1.0,0.0,J.D.,Law,0,0,0,0
257,Not involved at all,Not involved at all,Female,1970.0,White,0,0,,1.0,0.0,0.0,Master's,Business,0,0,0,0
259,Not involved at all,Somewhat involved,Male,1964.0,Asian,1,1,29.0,1.0,0.0,1.0,M.D.,Medicine/Healthcare,0,0,1,1
261,Not involved at all,Not very involved,Male,1984.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Other,0,0,0,0
262,Not involved at all,Somewhat involved,Male,1970.0,White,0,0,,0.0,1.0,1.0,Master's,Engineering,0,0,0,0
263,Not involved at all,Not involved at all,Female,1989.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Humanities,0,0,0,0
265,Not involved at all,Somewhat involved,Male,1982.0,White,0,0,,0.0,0.0,1.0,Bachelor's,Humanities,0,0,0,0
266,Not very involved,Not very involved,Male,1967.0,White,1,1,27.0,0.0,0.0,1.0,Bachelor's,Other,0,0,0,1
267,Not involved at all,Very involved,Male,1948.0,White,1,1,46.0,0.0,0.0,1.0,Master's,Business,0,1,1,1
268,Not involved at all,Somewhat involved,Male,1981.0,White,0,0,,1.0,0.0,1.0,Master's,Business,0,0,0,0
270,Not very involved,Very involved,Male,1964.0,White,0,0,,0.0,1.0,1.0,Master's,Sciences,0,0,0,0
272,Not involved at all,Not very involved,Female,1975.0,White,0,0,,1.0,1.0,0.0,Master's,Architecture,0,0,0,0
274,Not involved at all,Not very involved,Female,1988.0,White,0,0,,1.0,1.0,0.0,Bachelor's,Medicine/Healthcare,0,0,0,0
275,Not involved at all,Somewhat involved,Male,1935.0,White,2,1,47.0,0.0,1.0,1.0,J.D.,Law,1,0,0,0
277,Somewhat involved,Not very involved,Female,1985.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Architecture,0,0,0,0
278,Not involved at all,Not involved at all,Male,1956.0,White,0,0,,0.0,1.0,1.0,Bachelor's,Humanities,0,0,0,0
280,Not involved at all,Very involved,Female,1950.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Humanities,0,0,0,0
281,Not involved at all,Not very involved,Male,1949.0,Two or more races,0,0,,1.0,0.0,0.0,Master's,Humanities,0,0,0,0
283,Not involved at all,Somewhat involved,Male,1985.0,White,0,0,,1.0,1.0,1.0,Master's,Education,0,0,0,0
284,Not involved at all,Not involved at all,Male,1988.0,White,0,0,,0.0,0.0,0.0,Bachelor's,Business,0,0,0,0
285,Not very involved,Somewhat involved,Male,1981.0,Asian,0,0,,1.0,1.0,0.0,Bachelor's,Sciences,0,0,0,0
286,Not involved at all,Not involved at all,Female,1975.0,White,0,0,,0.0,0.0,1.0,Master's,Business,0,0,0,0
287,Not involved at all,Not involved at all,Female,1989.0,Hispanic or Latino,0,0,,1.0,0.0,0.0,Bachelor's,Social Sciences,0,0,0,0
288,Not involved at all,Not involved at all,Female,1979.0,White,0,0,,1.0,0.0,0.0,Master's,Business,0,0,0,0
290,Not very involved,Somewhat involved,Female,1985.0,White,0,0,,0.0,1.0,,Master's,Social Sciences,0,0,0,0
291,Not very involved,Not very involved,Male,1965.0,White,0,0,,0.0,0.0,1.0,Bachelor's,Engineering,0,0,0,0
292,Not involved at all,Not involved at all,Female,1989.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Social Sciences,0,0,0,0
293,Not very involved,Somewhat involved,Male,1968.0,White,0,0,,1.0,1.0,0.0,Master's,Business,0,0,0,0
294,Not involved at all,Not involved at all,Male,1980.0,White,1,1,29.0,0.0,0.0,1.0,J.D.,Law,1,0,0,0
295,Not involved at all,Not very involved,Female,1982.0,Two or more races,0,0,,0.0,1.0,1.0,Bachelor's,Humanities,0,0,0,0
296,Not involved at all,Somewhat involved,Male,1952.0,White,1,1,46.0,1.0,1.0,1.0,Master's,Other,1,0,0,0
297,Not involved at all,Somewhat involved,Female,1966.0,White,0,0,,1.0,,0.0,Ph.D.,Medicine/Healthcare,0,0,0,0
299,Somewhat involved,Very involved,Male,1970.0,White,2,1,41.0,0.0,1.0,1.0,Master's,Architecture,1,0,1,0
300,Somewhat involved,Somewhat involved,Male,1983.0,White,0,0,,1.0,0.0,,Ph.D.,Sciences,0,0,0,0
301,Not very involved,Not very involved,Female,1986.0,Black or African American,0,0,,0.0,1.0,0.0,Bachelor's,Humanities,0,0,0,0
303,Not involved at all,Not involved at all,Female,1988.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Humanities,0,0,0,0
305,Not involved at all,Not involved at all,Male,1985.0,White,0,0,,0.0,0.0,0.0,Bachelor's,Engineering,0,0,0,0
306,Somewhat involved,Not involved at all,Male,1988.0,Black or African American,0,0,,0.0,0.0,0.0,Bachelor's,Social Sciences,0,0,0,0
307,Not involved at all,Not involved at all,Male,1951.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Social Sciences,0,0,0,0
308,Not involved at all,Not involved at all,Male,1961.0,White,1,1,41.0,1.0,0.0,1.0,Master's,Education,0,0,0,1
310,Not involved at all,Not very involved,Female,1953.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Medicine/Healthcare,0,0,0,0
311,Not very involved,Not involved at all,Female,1982.0,White,0,0,,1.0,0.0,1.0,Bachelor's,Business,0,0,0,0
312,Not involved at all,Not very involved,Male,1959.0,White,0,0,,0.0,0.0,0.0,J.D.,Law,0,0,0,0
313,Not very involved,Somewhat involved,Female,1969.0,White,0,0,,1.0,0.0,0.0,Ph.D.,Education,0,0,0,0
315,Somewhat involved,Not very involved,Female,1988.0,White,0,0,,1.0,1.0,0.0,Bachelor's,Business,0,0,0,0
316,Not involved at all,Very involved,Female,1981.0,Two or more races,0,0,,1.0,1.0,0.0,Ph.D.,Sciences,0,0,0,0
317,Not involved at all,Not involved at all,Female,1963.0,White,1,1,27.0,1.0,0.0,1.0,Master's,Education,1,0,0,0
319,Not involved at all,Somewhat involved,Male,1988.0,White,0,0,,1.0,0.0,1.0,Bachelor's,Social Sciences,0,0,0,0
320,Not involved at all,Not involved at all,Male,1981.0,White,0,0,,1.0,0.0,0.0,J.D.,Law,0,0,0,0
322,Not very involved,Not involved at all,Female,1984.0,Black or African American,0,0,,1.0,1.0,1.0,Bachelor's,Humanities,0,0,0,0
324,Not involved at all,Not involved at all,Male,1970.0,White,0,0,,0.0,1.0,0.0,M.D.,Medicine/Healthcare,0,0,0,0
325,Not involved at all,Not very involved,Female,1970.0,White,1,1,32.0,1.0,0.0,1.0,Master's,Other,0,0,0,1
326,Not involved at all,Somewhat involved,Male,1981.0,White,0,0,,0.0,0.0,1.0,M.D.,Medicine/Healthcare,0,0,0,0
327,Not involved at all,Not involved at all,Male,1969.0,White,0,0,,0.0,0.0,1.0,Bachelor's,Sciences,0,0,0,0
328,Not involved at all,Not very involved,Female,1967.0,White,0,0,,1.0,1.0,,Master's,Business,0,0,0,0
329,Somewhat involved,Not very involved,Male,1984.0,White,0,0,,1.0,0.0,1.0,Bachelor's,Other,0,0,0,0
330,Not involved at all,Very involved,Female,1974.0,White,0,0,,0.0,1.0,0.0,Ph.D.,Engineering,0,0,0,0
332,Not involved at all,Not involved at all,Female,1980.0,White,0,0,,1.0,0.0,0.0,J.D.,Law,0,0,0,0
333,Not involved at all,Not very involved,Male,1987.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Engineering,0,0,0,0
334,Not involved at all,Not involved at all,Female,1983.0,White,0,0,,1.0,0.0,1.0,Bachelor's,Social Sciences,0,0,0,0
335,Not involved at all,Somewhat involved,Female,1969.0,White,1,1,37.0,1.0,1.0,1.0,Master's,Business,1,0,0,0
